abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
base.dists.uniform.cdf,"\nbase.dists.uniform.cdf( x:number, a:number, b:number )\n    Evaluates the cumulative distribution function (CDF) for a uniform\n    distribution with minimum support `a` and maximum support `b` at a value\n    `x`.\n"
base.dists.uniform.cdf.factory,"\nbase.dists.uniform.cdf.factory( a:number, b:number )\n    Returns a function for evaluating the cumulative distribution function (CDF)\n    of a uniform distribution with minimum support `a` and maximum support `b`.\n"
base.dists.uniform.entropy,"\nbase.dists.uniform.entropy( a:number, b:number )\n    Returns the differential entropy of a uniform distribution.\n"
base.dists.uniform.kurtosis,"\nbase.dists.uniform.kurtosis( a:number, b:number )\n    Returns the excess kurtosis of a uniform distribution.\n"
base.dists.uniform.logcdf,"\nbase.dists.uniform.logcdf( x:number, a:number, b:number )\n    Evaluates the logarithm of the cumulative distribution function (CDF) for a\n    uniform distribution with minimum support `a` and maximum support `b` at a\n    value `x`.\n"
base.dists.uniform.logcdf.factory,"\nbase.dists.uniform.logcdf.factory( a:number, b:number )\n    Returns a function for evaluating the logarithm of the cumulative\n    distribution function (CDF) of a uniform distribution with minimum support\n    `a` and maximum support `b`.\n"
base.dists.uniform.logpdf,"\nbase.dists.uniform.logpdf( x:number, a:number, b:number )\n    Evaluates the logarithm of the probability density function (PDF) for a\n    uniform distribution with minimum support `a` and maximum support `b` at a\n    value `x`.\n"
base.dists.uniform.logpdf.factory,"\nbase.dists.uniform.logpdf.factory( a:number, b:number )\n    Returns a function for evaluating the logarithm of the probability density\n    function (PDF) of a uniform distribution with minimum support `a` and\n    maximum support `b`.\n"
base.dists.uniform.mean,"\nbase.dists.uniform.mean( a:number, b:number )\n    Returns the expected value of a uniform distribution.\n"
base.dists.uniform.median,"\nbase.dists.uniform.median( a:number, b:number )\n    Returns the median of a uniform distribution.\n"
base.dists.uniform.mgf,"\nbase.dists.uniform.mgf( t:number, a:number, b:number )\n    Evaluates the moment-generating function (MGF) for a uniform\n    distribution with minimum support `a` and maximum support `b` at a value\n    `t`.\n"
base.dists.uniform.mgf.factory,"\nbase.dists.uniform.mgf.factory( a:number, b:number )\n    Returns a function for evaluating the moment-generating function (MGF)\n    of a uniform distribution with minimum support `a` and maximum support `b`.\n"
base.dists.uniform.pdf,"\nbase.dists.uniform.pdf( x:number, a:number, b:number )\n    Evaluates the probability density function (PDF) for a uniform distribution\n    with minimum support `a` and maximum support `b` at a value `x`.\n"
base.dists.uniform.pdf.factory,"\nbase.dists.uniform.pdf.factory( a:number, b:number )\n    Returns a function for evaluating the probability density function (PDF) of\n    a uniform distribution with minimum support `a` and maximum support `b`.\n"
base.dists.uniform.quantile,"\nbase.dists.uniform.quantile( p:number, a:number, b:number )\n    Evaluates the quantile function for a uniform distribution with minimum\n    support `a` and maximum support `b` at a probability `p`.\n"
base.dists.uniform.quantile.factory,"\nbase.dists.uniform.quantile.factory( a:number, b:number )\n    Returns a function for evaluating the quantile function of a uniform\n    distribution with minimum support `a` and maximum support `b`.\n"
base.dists.uniform.skewness,"\nbase.dists.uniform.skewness( a:number, b:number )\n    Returns the skewness of a uniform distribution.\n"
base.dists.uniform.stdev,"\nbase.dists.uniform.stdev( a:number, b:number )\n    Returns the standard deviation of a uniform distribution.\n"
base.dists.uniform.Uniform,"\nbase.dists.uniform.Uniform( [a:number, b:number] )\n    Returns a uniform distribution object.\n"
base.dists.uniform.variance,"\nbase.dists.uniform.variance( a:number, b:number )\n    Returns the variance of a uniform distribution.\n"
base.dists.weibull.cdf,"\nbase.dists.weibull.cdf( x:number, k:number, λ:number )\n    Evaluates the cumulative distribution function (CDF) for a Weibull\n    distribution with shape parameter `k` and scale parameter `λ` at a value\n    `x`.\n"
base.dists.weibull.cdf.factory,"\nbase.dists.weibull.cdf.factory( k:number, λ:number )\n    Returns a function for evaluating the cumulative distribution function (CDF)\n    of a Weibull distribution with shape parameter `k` and scale parameter `λ`.\n"
base.dists.weibull.entropy,"\nbase.dists.weibull.entropy( k:number, λ:number )\n    Returns the differential entropy of a Weibull distribution (in nats).\n"
base.dists.weibull.kurtosis,"\nbase.dists.weibull.kurtosis( k:number, λ:number )\n    Returns the excess kurtosis of a Weibull distribution.\n"
base.dists.weibull.logcdf,"\nbase.dists.weibull.logcdf( x:number, k:number, λ:number )\n    Evaluates the logarithm of the cumulative distribution function (CDF) for a\n    Weibull distribution with shape parameter `k` and scale parameter `λ` at a\n    value `x`.\n"
base.dists.weibull.logcdf.factory,"\nbase.dists.weibull.logcdf.factory( k:number, λ:number)\n    Returns a function for evaluating the logarithm of the cumulative\n    distribution function (CDF) of a Weibull distribution with scale parameter\n    `λ` and shape parameter `k`.\n"
base.dists.weibull.logpdf,"\nbase.dists.weibull.logpdf( x:number, k:number, λ:number )\n    Evaluates the logarithm of the probability density function (PDF) for a\n    Weibull distribution with shape parameter `k` and scale parameter `λ` at a\n    value `x`.\n"
base.dists.weibull.logpdf.factory,"\nbase.dists.weibull.logpdf.factory( k:number, λ:number )\n    Returns a function for evaluating the logarithm of the probability density\n    function (PDF) of a Weibull distribution with shape parameter `k` and scale\n    parameter `λ`.\n"
base.dists.weibull.mean,"\nbase.dists.weibull.mean( k:number, λ:number )\n    Returns the expected value of a Weibull distribution.\n"
base.dists.weibull.median,"\nbase.dists.weibull.median( k:number, λ:number )\n    Returns the median of a Weibull distribution.\n"
base.dists.weibull.mgf,"\nbase.dists.weibull.mgf( x:number, k:number, λ:number )\n    Evaluates the moment-generating function (MGF) for a Weibull distribution\n    with shape parameter `k` and scale parameter `λ` at a value `t`.\n"
base.dists.weibull.mgf.factory,"\nbase.dists.weibull.mgf.factory( k:number, λ:number )\n    Returns a function for evaluating the moment-generating function (MGF) of a\n    Weibull distribution with shape parameter `k` and scale parameter `λ`.\n"
base.dists.weibull.mode,"\nbase.dists.weibull.mode( k:number, λ:number )\n    Returns the mode of a Weibull distribution.\n"
base.dists.weibull.pdf,"\nbase.dists.weibull.pdf( x:number, k:number, λ:number )\n    Evaluates the probability density function (PDF) for a Weibull distribution\n    with shape parameter `k` and scale parameter `λ` at a value `x`.\n"
base.dists.weibull.pdf.factory,"\nbase.dists.weibull.pdf.factory( k:number, λ:number )\n    Returns a function for evaluating the probability density function (PDF) of\n    a Weibull distribution with shape parameter `k` and scale parameter `λ`.\n"
base.dists.weibull.quantile,"\nbase.dists.weibull.quantile( p:number, k:number, λ:number )\n    Evaluates the quantile function for a Weibull distribution with scale\n    parameter `k` and shape parameter `λ` at a probability `p`.\n"
base.dists.weibull.quantile.factory,"\nbase.dists.weibull.quantile.factory( k:number, λ:number )\n    Returns a function for evaluating the quantile function of a Weibull\n    distribution with scale parameter `k` and shape parameter `λ`.\n"
base.dists.weibull.skewness,"\nbase.dists.weibull.skewness( k:number, λ:number )\n    Returns the skewness of a Weibull distribution.\n"
base.dists.weibull.stdev,"\nbase.dists.weibull.stdev( k:number, λ:number )\n    Returns the standard deviation of a Weibull distribution.\n"
base.dists.weibull.variance,"\nbase.dists.weibull.variance( k:number, λ:number )\n    Returns the variance of a Weibull distribution.\n"
base.dists.weibull.Weibull,"\nbase.dists.weibull.Weibull( [k:number, λ:number] )\n    Returns a Weibull distribution object.\n"
base.ellipe,"\nbase.ellipe( m:number )\n    Computes the complete elliptic integral of the second kind.\n"
base.ellipj,"\nbase.ellipj( u:number, m:number )\n    Computes the Jacobi elliptic functions sn, cn, and dn and Jacobi\n    amplitude am.\n"
base.ellipj.assign,"\nbase.ellipj.assign( u:number, m:number, out:Array|TypedArray|Object, \n  stride:integer, offset:integer )\n    Computes the Jacobi elliptic functions sn, cn, and dn and Jacobi\n    amplitude am and assigns results to a provided output array.\n"
base.ellipj.sn,"\nbase.ellipj.sn( u:number, m:number )\n    Computes the Jacobi elliptic function sn.\n"
base.ellipj.cn,"\nbase.ellipj.cn( u:number, m:number )\n    Computes the Jacobi elliptic functions cn.\n"
base.ellipj.dn,"\nbase.ellipj.dn( u:number, m:number )\n    Computes the Jacobi elliptic function dn.\n"
base.ellipj.am,"\nbase.ellipj.am( u:number, m:number )\n    Computes the Jacobi amplitude am.\n"
base.ellipk,"\nbase.ellipk( m:number )\n    Computes the complete elliptic integral of the first kind.\n"
base.endsWith,"\nbase.endsWith( str:string, search:string, len:integer )\n    Tests if a string ends with the characters of another string.\n"
base.epsdiff,"\nbase.epsdiff( x:number, y:number[, scale:string|Function] )\n    Computes the relative difference of two real numbers in units of double-\n    precision floating-point epsilon.\n"
base.erf,"\nbase.erf( x:number )\n    Evaluates the error function.\n"
base.erfc,"\nbase.erfc( x:number )\n    Evaluates the complementary error function.\n"
base.erfcinv,"\nbase.erfcinv( x:number )\n    Evaluates the inverse complementary error function.\n"
base.erfcx,"\nbase.erfcx( x:number )\n    Evaluates the scaled complementary error function.\n"
base.erfinv,"\nbase.erfinv( x:number )\n    Evaluates the inverse error function.\n"
base.eta,"\nbase.eta( s:number )\n    Evaluates the Dirichlet eta function for a double-precision\n    floating-point number `s`.\n"
base.evalpoly,"\nbase.evalpoly( c:Array<number>, x:number )\n    Evaluates a polynomial using double-precision floating-point arithmetic.\n"
base.evalpoly.factory,"\nbase.evalpoly.factory( c:Array<number> )\n    Returns a function for evaluating a polynomial using double-precision\n    floating-point arithmetic.\n"
base.evalrational,"\nbase.evalrational( P:Array<number>, Q:Array<number>, x:number )\n    Evaluates a rational function using double-precision floating-point\n    arithmetic.\n"
base.evalrational.factory,"\nbase.evalrational.factory( P:Array<number>, Q:Array<number> )\n    Returns a function for evaluating a rational function using double-precision\n    floating-point arithmetic.\n"
base.exp,"\nbase.exp( x:number )\n    Evaluates the natural exponential function.\n"
base.exp2,"\nbase.exp2( x:number )\n    Evaluates the base 2 exponential function.\n"
base.exp10,"\nbase.exp10( x:number )\n    Evaluates the base 10 exponential function.\n"
base.expit,"\nbase.expit( x:number )\n    Evaluates the standard logistic function.\n"
base.expm1,"\nbase.expm1( x:number )\n    Computes `exp(x)-1`, where `exp(x)` is the natural exponential function.\n"
base.expm1rel,"\nbase.expm1rel( x:number )\n    Relative error exponential.\n"
base.exponent,"\nbase.exponent( x:number )\n    Returns an integer corresponding to the unbiased exponent of a double-\n    precision floating-point number.\n"
base.exponentf,"\nbase.exponentf( x:float )\n    Returns an integer corresponding to the unbiased exponent of a single-\n    precision floating-point number.\n"
base.factorial,"\nbase.factorial( x:number )\n    Evaluates the factorial of `x`.\n"
base.factorial2,"\nbase.factorial2( n:number )\n    Evaluates the double factorial of `n`.\n"
base.factorialln,"\nbase.factorialln( x:number )\n    Evaluates the natural logarithm of the factorial of `x`.\n"
base.fallingFactorial,"\nbase.fallingFactorial( x:number, n:integer )\n    Computes the falling factorial of `x` and `n`.\n"
base.fibonacci,"\nbase.fibonacci( n:integer )\n    Computes the nth Fibonacci number.\n"
base.fibonacciIndex,"\nbase.fibonacciIndex( F:integer )\n    Computes the Fibonacci number index.\n"
base.fibpoly,"\nbase.fibpoly( n:integer, x:number )\n    Evaluates a Fibonacci polynomial.\n"
base.fibpoly.factory,"\nbase.fibpoly.factory( n:integer )\n    Returns a function for evaluating a Fibonacci polynomial.\n"
base.firstCodePoint,"\nbase.firstCodePoint( str:string, n:integer )\n    Returns the first `n` Unicode code points of a string.\n"
base.firstCodeUnit,"\nbase.firstCodeUnit( str:string, n:integer )\n    Returns the first `n` UTF-16 code units of a string.\n"
base.firstGraphemeCluster,"\nbase.firstGraphemeCluster( str:string, n:integer )\n    Returns the first `n` grapheme clusters (i.e., user-perceived characters) of\n    a string.\n"
base.flipsign,"\nbase.flipsign( x:number, y:number )\n    Returns a double-precision floating-point number with the magnitude of `x`\n    and the sign of `x*y`.\n"
base.flipsignf,"\nbase.flipsignf( x:number, y:number )\n    Returns a single-precision floating-point number with the magnitude of `x`\n    and the sign of `x*y`.\n"
base.float32ToInt32,"\nbase.float32ToInt32( x:float )\n    Converts a single-precision floating-point number to a signed 32-bit\n    integer.\n"
base.float32ToUint32,"\nbase.float32ToUint32( x:float )\n    Converts a single-precision floating-point number to a unsigned 32-bit\n    integer.\n"
base.float64ToFloat32,"\nbase.float64ToFloat32( x:number )\n    Converts a double-precision floating-point number to the nearest single-\n    precision floating-point number.\n"
base.float64ToInt32,"\nbase.float64ToInt32( x:number )\n    Converts a double-precision floating-point number to a signed 32-bit\n    integer.\n"
base.float64ToInt64Bytes,"\nbase.float64ToInt64Bytes( x:integer )\n    Converts an integer-valued double-precision floating-point number to a\n    signed 64-bit integer byte array according to host byte order (endianness).\n"
base.float64ToInt64Bytes.assign,"\nbase.float64ToInt64Bytes.assign( x:integer, out:Array|TypedArray|Object, \n  stride:integer, offset:integer )\n    Converts an integer-valued double-precision floating-point number to a\n    signed 64-bit integer byte array according to host byte order (endianness)\n    and assigns results to a provided output array.\n"
base.float64ToUint32,"\nbase.float64ToUint32( x:number )\n    Converts a double-precision floating-point number to a unsigned 32-bit\n    integer.\n"
base.floor,"\nbase.floor( x:number )\n    Rounds a double-precision floating-point number toward negative infinity.\n"
base.floor2,"\nbase.floor2( x:number )\n    Rounds a numeric value to the nearest power of two toward negative infinity.\n"
base.floor10,"\nbase.floor10( x:number )\n    Rounds a numeric value to the nearest power of ten toward negative infinity.\n"
base.floorb,"\nbase.floorb( x:number, n:integer, b:integer )\n    Rounds a numeric value to the nearest multiple of `b^n` toward negative\n    infinity.\n"
base.floorf,"\nbase.floorf( x:number )\n    Rounds a single-precision floating-point number toward negative infinity.\n"
base.floorn,"\nbase.floorn( x:number, n:integer )\n    Rounds a double-precision floating-point number to the nearest multiple of\n    `10^n` toward negative infinity.\n"
base.floorsd,"\nbase.floorsd( x:number, n:integer, b:integer )\n    Rounds a numeric value to the nearest number toward negative infinity with\n    `n` significant figures.\n"
base.forEachChar,"\nbase.forEachChar( str:string, clbk:Function[, thisArg:any] )\n    Invokes a function for each UTF-16 code unit in a string.\n"
base.forEachCodePoint,"\nbase.forEachCodePoint( str:string, clbk:Function[, thisArg:any] )\n    Invokes a function for each Unicode code point in a string.\n"
base.forEachCodePointRight,"\nbase.forEachCodePointRight( str:string, clbk:Function[, thisArg:any] )\n    Invokes a function for each Unicode code point in a string, iterating from\n    right to left.\n"
base.forEachGraphemeCluster,"\nbase.forEachGraphemeCluster( str:string, clbk:Function[, thisArg:any] )\n    Invokes a function for each grapheme cluster (i.e., user-perceived\n    character) in a string.\n"
base.forEachRight,"\nbase.forEachRight( str:string, clbk:Function[, thisArg:any] )\n    Invokes a function for each UTF-16 code unit in a string, iterating from\n    right to left.\n"
base.formatInterpolate,"\nbase.formatInterpolate( tokens:Array, ...args:any )\n    Generate string from a token array by interpolating values.\n"
base.formatTokenize,"\nbase.formatTokenize( str:string )\n    Tokenize a string into an array of string parts and format identifier\n    objects.\n"
base.fresnel,"\nbase.fresnel( x:number )\n    Computes the Fresnel integrals S(x) and C(x).\n"
base.fresnel.assign,"\nbase.fresnel.assign( x:number, out:Array<number>, stride:integer, \n  offset:integer )\n    Computes the Fresnel integrals S(x) and C(x) and assigns results to a\n    provided output array.\n"
base.fresnelc,"\nbase.fresnelc( x:number )\n    Computes the Fresnel integral C(x).\n"
base.fresnels,"\nbase.fresnels( x:number )\n    Computes the Fresnel integral S(x).\n"
base.frexp,"\nbase.frexp( x:number )\n    Splits a double-precision floating-point number into a normalized fraction\n    and an integer power of two.\n"
base.frexp.assign,"\nbase.frexp.assign( x:number, out:Array<number>, stride:integer, offset:integer )\n    Splits a double-precision floating-point number into a normalized fraction\n    and an integer power of two and assigns results to a provided output array.\n"
base.fromBinaryString,"\nbase.fromBinaryString( bstr:string )\n    Creates a double-precision floating-point number from a literal bit\n    representation.\n"
base.fromBinaryStringf,"\nbase.fromBinaryStringf( bstr:string )\n    Creates a single-precision floating-point number from an IEEE 754 literal\n    bit representation.\n"
base.fromBinaryStringUint8,"\nbase.fromBinaryStringUint8( bstr:string )\n    Creates an unsigned 8-bit integer from a literal bit representation.\n"
base.fromBinaryStringUint16,"\nbase.fromBinaryStringUint16( bstr:string )\n    Creates an unsigned 16-bit integer from a literal bit representation.\n"
base.fromBinaryStringUint32,"\nbase.fromBinaryStringUint32( bstr:string )\n    Creates an unsigned 32-bit integer from a literal bit representation.\n"
base.fromInt64Bytes,"\nbase.fromInt64Bytes( bytes:Array|TypedArray|Object, stride:integer, \n  offset:integer )\n    Converts a signed 64-bit integer byte array to a double-precision floating-\n    point number.\n"
base.fromWordf,"\nbase.fromWordf( word:integer )\n    Creates a single-precision floating-point number from an unsigned integer\n    corresponding to an IEEE 754 binary representation.\n"
base.fromWords,"\nbase.fromWords( high:integer, low:integer )\n    Creates a double-precision floating-point number from a higher order word\n    (unsigned 32-bit integer) and a lower order word (unsigned 32-bit integer).\n"
base.gamma,"\nbase.gamma( x:number )\n    Evaluates the gamma function.\n"
base.gamma1pm1,"\nbase.gamma1pm1( x:number )\n    Computes `gamma(x+1) - 1` without cancellation errors, where `gamma(x)` is\n    the gamma function.\n"
base.gammaDeltaRatio,"\nbase.gammaDeltaRatio( z:number, delta:number )\n    Computes the ratio of two gamma functions.\n"
base.gammainc,"\nbase.gammainc( x:number, s:number[, regularized:boolean[, upper:boolean]] )\n    Computes the regularized incomplete gamma function.\n"
base.gammaincinv,"\nbase.gammaincinv( p:number, a:number[, upper:boolean] )\n    Computes the inverse of the lower incomplete gamma function.\n"
base.gammaLanczosSum,"\nbase.gammaLanczosSum( x:number )\n    Calculates the Lanczos sum for the approximation of the gamma function.\n"
base.gammaLanczosSumExpGScaled,"\nbase.gammaLanczosSumExpGScaled( x:number )\n    Calculates the scaled Lanczos sum for the approximation of the gamma\n    function.\n"
base.gammaln,"\nbase.gammaln( x:number )\n    Evaluates the natural logarithm of the gamma function.\n"
base.gammasgn,"\nbase.gammasgn( x:number )\n    Computes the sign of the gamma function.\n"
base.gcd,"\nbase.gcd( a:integer, b:integer )\n    Computes the greatest common divisor (gcd).\n"
base.getHighWord,"\nbase.getHighWord( x:number )\n    Returns an unsigned 32-bit integer corresponding to the more significant 32\n    bits of a double-precision floating-point number.\n"
base.getLowWord,"\nbase.getLowWord( x:number )\n    Returns an unsigned 32-bit integer corresponding to the less significant 32\n    bits of a double-precision floating-point number.\n"
base.hacovercos,"\nbase.hacovercos( x:number )\n    Computes the half-value coversed cosine.\n"
base.hacoversin,"\nbase.hacoversin( x:number )\n    Computes the half-value coversed sine.\n"
base.havercos,"\nbase.havercos( x:number )\n    Computes the half-value versed cosine.\n"
base.haversin,"\nbase.haversin( x:number )\n    Computes the half-value versed sine.\n"
base.headercase,"\nbase.headercase( str:string )\n    Converts a string to HTTP header case.\n"
base.heaviside,"\nbase.heaviside( x:number[, continuity:string] )\n    Evaluates the Heaviside function.\n"
base.hermitepoly,"\nbase.hermitepoly( n:integer, x:number )\n    Evaluates a physicist's Hermite polynomial.\n"
base.hermitepoly.factory,"\nbase.hermitepoly.factory( n:integer )\n    Returns a function for evaluating a physicist's Hermite polynomial.\n"
base.hypot,"\nbase.hypot( x:number, y:number )\n    Computes the hypotenuse avoiding overflow and underflow.\n"
base.hypotf,"\nbase.hypotf( x:number, y:number )\n    Computes the hypotenuse avoiding overflow and underflow (single-precision).\n"
base.identity,"\nbase.identity( x:number )\n    Evaluates the identity function for a double-precision floating-point number\n    `x`.\n"
base.identityf,"\nbase.identityf( x:number )\n    Evaluates the identity function for a single-precision floating-point number\n    `x`.\n"
base.imul,"\nbase.imul( a:integer, b:integer )\n    Performs C-like multiplication of two signed 32-bit integers.\n"
base.imuldw,"\nbase.imuldw( a:integer, b:integer )\n    Multiplies two signed 32-bit integers and returns an array of two signed 32-\n    bit integers which represents the signed 64-bit integer product.\n"
base.imuldw.assign,"\nbase.imuldw.assign( a:integer, b:integer, out:Array|TypedArray|Object, \n  stride:integer, offset:integer )\n    Multiplies two signed 32-bit integers and assigns results representing the\n    signed 64-bit integer product to a provided output array.\n"
base.int2slice,"\nbase.int2slice( value:integer, max:integer, strict:boolean )\n    Converts an integer to a Slice object.\n"
base.int32ToUint32,"\nbase.int32ToUint32( x:integer )\n    Converts a signed 32-bit integer to an unsigned 32-bit integer.\n"
base.inv,"\nbase.inv( x:number )\n    Computes the multiplicative inverse of a double-precision floating-point\n    number `x`.\n"
base.invcase,"\nbase.invcase( str:string )\n    Converts a string to inverse case.\n"
base.invf,"\nbase.invf( x:number )\n    Computes the multiplicative inverse of a single-precision floating-point\n    number `x`.\n"
base.isComposite,"\nbase.isComposite( x:number )\n    Tests if a number is composite.\n"
base.isCoprime,"\nbase.isCoprime( a:number, b:number )\n    Tests if two numbers are coprime.\n"
base.isEven,"\nbase.isEven( x:number )\n    Tests if a finite numeric value is an even number.\n"
base.isEvenInt32,"\nbase.isEvenInt32( x:integer )\n    Tests if a 32-bit integer is even.\n"
base.isFinite,"\nbase.isFinite( x:number )\n    Tests if a double-precision floating-point numeric value is finite.\n"
base.isFinitef,"\nbase.isFinitef( x:number )\n    Tests if a single-precision floating-point numeric value is finite.\n"
base.isInfinite,"\nbase.isInfinite( x:number )\n    Tests if a double-precision floating-point numeric value is infinite.\n"
base.isInfinitef,"\nbase.isInfinitef( x:number )\n    Tests if a single-precision floating-point numeric value is infinite.\n"
base.isInteger,"\nbase.isInteger( x:number )\n    Tests if a finite double-precision floating-point number is an integer.\n"
base.isnan,"\nbase.isnan( x:number )\n     Tests if a double-precision floating-point numeric value is `NaN`.\n"
base.isnanf,"\nbase.isnanf( x:number )\n     Tests if a single-precision floating-point numeric value is `NaN`.\n"
base.isNegativeFinite,"\nbase.isNegativeFinite( x:number )\n    Tests if a double-precision floating-point numeric value is a negative\n    finite number.\n"
base.isNegativeInteger,"\nbase.isNegativeInteger( x:number )\n    Tests if a finite double-precision floating-point number is a negative\n    integer.\n"
base.isNegativeZero,"\nbase.isNegativeZero( x:number )\n    Tests if a double-precision floating-point numeric value is negative zero.\n"
base.isNegativeZerof,"\nbase.isNegativeZerof( x:number )\n    Tests if a single-precision floating-point numeric value is negative zero.\n"
base.isNonNegativeFinite,"\nbase.isNonNegativeFinite( x:number )\n    Tests if a double-precision floating-point numeric value is a nonnegative\n    finite number.\n"
base.isNonNegativeInteger,"\nbase.isNonNegativeInteger( x:number )\n    Tests if a finite double-precision floating-point number is a nonnegative\n    integer.\n"
base.isNonPositiveFinite,"\nbase.isNonPositiveFinite( x:number )\n    Tests if a double-precision floating-point numeric value is a nonpositive\n    finite number.\n"
base.isNonPositiveInteger,"\nbase.isNonPositiveInteger( x:number )\n    Tests if a finite double-precision floating-point number is a nonpositive\n    integer.\n"
base.isOdd,"\nbase.isOdd( x:number )\n    Tests if a finite numeric value is an odd number.\n"
base.isOddInt32,"\nbase.isOddInt32( x:integer )\n    Tests if a 32-bit integer is odd.\n"
base.isPositiveFinite,"\nbase.isPositiveFinite( x:number )\n    Tests if a double-precision floating-point numeric value is a positive\n    finite number.\n"
base.isPositiveInteger,"\nbase.isPositiveInteger( x:number )\n    Tests if a finite double-precision floating-point number is a positive\n    integer.\n"
base.isPositiveZero,"\nbase.isPositiveZero( x:number )\n    Tests if a double-precision floating-point numeric value is positive zero.\n"
base.isPositiveZerof,"\nbase.isPositiveZerof( x:number )\n    Tests if a single-precision floating-point numeric value is positive zero.\n"
base.isPow2Uint32,"\nbase.isPow2Uint32( x:integer )\n    Tests whether an unsigned integer is a power of 2.\n"
base.isPrime,"\nbase.isPrime( x:number )\n    Tests if a number is prime.\n"
base.isProbability,"\nbase.isProbability( x:number )\n    Tests if a double-precision floating-point number value is a probability.\n"
base.isSafeInteger,"\nbase.isSafeInteger( x:number )\n    Tests if a finite double-precision floating-point number is a safe integer.\n"
base.kebabcase,"\nbase.kebabcase( str:string )\n    Converts a string to kebab case.\n"
base.kernelBetainc,"\nbase.kernelBetainc( x:number, a:number, b:number, regularized:boolean, \n  upper:boolean )\n    Computes the kernel function for the regularized incomplete beta function.\n"
base.kernelBetainc.assign,"\nbase.kernelBetainc.assign( x:number, a:number, b:number, regularized:boolean, \n  upper:boolean, out:Array|TypedArray|Object, stride:integer, offset:integer )\n    Computes the kernel function for the regularized incomplete beta function.\n"
base.kernelBetaincinv,"\nbase.kernelBetaincinv( a:number, b:number, p:number, q:number )\n    Computes the inverse of the lower incomplete beta function.\n"
base.kernelCos,"\nbase.kernelCos( x:number, y:number )\n    Computes the cosine of a double-precision floating-point number on the\n    interval [-π/4, π/4].\n"
base.kernelLog1p,"\nbase.kernelLog1p( f:number )\n    Computes `log(1+f) - f` for `1+f` in ~[sqrt(2)/2, sqrt(2)].\n"
base.kernelSin,"\nbase.kernelSin( x:number, y:number )\n    Computes the sine of a double-precision floating-point number on [-π/4,π/4].\n"
base.kernelTan,"\nbase.kernelTan( x:number, y:number, k:integer )\n    Computes the tangent of a double-precision floating-point number on the\n    interval [-π/4, π/4].\n"
base.kroneckerDelta,"\nbase.kroneckerDelta( i:number, j:number )\n    Evaluates the Kronecker delta.\n"
base.kroneckerDeltaf,"\nbase.kroneckerDeltaf( i:number, j:number )\n    Evaluates the Kronecker delta (single-precision).\n"
base.labs,"\nbase.labs( x:integer )\n    Computes an absolute value of a signed 32-bit integer in two's complement\n    format.\n"
base.last,"\nbase.last( str:string, n:integer )\n    Returns the last `n` UTF-16 code units of a string.\n"
base.lastCodePoint,"\nbase.lastCodePoint( str:string, n:integer )\n    Returns the last `n` Unicode code points of a string.\n"
base.lastGraphemeCluster,"\nbase.lastGraphemeCluster( str:string, n:integer )\n    Returns the last `n` grapheme clusters (i.e., user-perceived characters) of\n    a string.\n"
base.lcm,"\nbase.lcm( a:integer, b:integer )\n    Computes the least common multiple (lcm).\n"
base.ldexp,"\nbase.ldexp( frac:number, exp:number )\n    Multiplies a double-precision floating-point number by an integer power of\n    two; i.e., `x = frac * 2^exp`.\n"
base.leftPad,"\nbase.leftPad( str:string, len:integer, pad:string )\n    Left pads a string such that the padded string has a length of at least\n    `len`.\n"
base.leftTrim,"\nbase.leftTrim( str:string )\n    Trims whitespace from the beginning of a string.\n"
base.ln,"\nbase.ln( x:number )\n    Evaluates the natural logarithm of a double-precision floating-point number.\n"
base.log,"\nbase.log( x:number, b:number )\n    Computes the base `b` logarithm of a double-precision floating-point number.\n"
base.log1mexp,"\nbase.log1mexp( x:number )\n    Evaluates the natural logarithm of `1-exp(-|x|)`.\n"
base.log1p,"\nbase.log1p( x:number )\n    Evaluates the natural logarithm of `1+x`.\n"
base.log1pexp,"\nbase.log1pexp( x:number )\n    Evaluates the natural logarithm of `1+exp(x)`.\n"
base.log1pmx,"\nbase.log1pmx( x:number )\n    Evaluates `ln(1+x) - x`.\n"
base.log2,"\nbase.log2( x:number )\n    Evaluates the binary logarithm (base two).\n"
base.log10,"\nbase.log10( x:number )\n    Evaluates the common logarithm (base 10).\n"
base.logaddexp,"\nbase.logaddexp( x:number, y:number )\n    Computes the natural logarithm of `exp(x) + exp(y)`.\n"
base.logit,"\nbase.logit( p:number )\n    Evaluates the logit function.\n"
base.lowercase,"\nbase.lowercase( str:string )\n    Converts a string to lowercase.\n"
base.lucas,"\nbase.lucas( n:integer )\n    Computes the nth Lucas number.\n"
base.lucaspoly,"\nbase.lucaspoly( n:integer, x:number )\n    Evaluates a Lucas polynomial.\n"
base.lucaspoly.factory,"\nbase.lucaspoly.factory( n:integer )\n    Returns a function for evaluating a Lucas polynomial.\n"
base.max,"\nbase.max( x:number, y:number )\n    Returns the maximum value.\n"
base.maxabs,"\nbase.maxabs( x:number, y:number )\n    Returns the maximum absolute value.\n"
base.maxabsn,"\nbase.maxabsn( [x:number[, y:number[, ...args:number]]] )\n    Returns the maximum absolute value.\n"
base.maxn,"\nbase.maxn( [x:number[, y:number[, ...args:number]]] )\n    Returns the maximum value.\n"
