obs,town,town_id,tract,lon,lat,medv,cmedv,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat
176,Arlington,29,3564,-71.094000,42.257500,29.4,29.4,0.06664,0.0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
177,Arlington,29,3565,-71.112500,42.255000,23.2,23.2,0.07022,0.0,4.05,0,0.51,6.020,47.2,3.5549,5,296,16.6,393.23,10.11
178,Arlington,29,3566,-71.106000,42.251200,24.6,24.6,0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.60,6.29
179,Arlington,29,3567,-71.096500,42.247000,29.9,29.9,0.06642,0.0,4.05,0,0.51,6.860,74.4,2.9153,5,296,16.6,391.27,6.92
180,Belmont,30,3571,-71.100000,42.240800,37.2,37.2,0.05780,0.0,2.46,0,0.488,6.980,58.4,2.8290,3,193,17.8,396.90,5.04
181,Belmont,30,3572,-71.099500,42.234500,39.8,39.8,0.06588,0.0,2.46,0,0.488,7.765,83.3,2.7410,3,193,17.8,395.56,7.56
182,Belmont,30,3573,-71.096600,42.228200,36.2,36.2,0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.90,9.45
183,Belmont,30,3574,-71.100500,42.228700,37.9,37.9,0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
184,Belmont,30,3575,-71.106500,42.230000,32.5,32.5,0.10008,0.0,2.46,0,0.488,6.563,95.6,2.8470,3,193,17.8,396.90,5.68
185,Belmont,30,3576,-71.112000,42.230000,26.4,26.4,0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391.00,13.98
186,Belmont,30,3577,-71.117500,42.235000,29.6,29.6,0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
187,Belmont,30,3578,-71.111500,42.244200,50.0,50.0,0.05602,0.0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45
188,Lexington,31,3581,-71.122000,42.256500,32.0,32.0,0.07875,45.0,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68
189,Lexington,31,3583,-71.140800,42.255000,29.8,29.8,0.12579,45.0,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56
190,Lexington,31,3584,-71.145000,42.265100,34.9,34.9,0.08370,45.0,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,396.90,5.39
191,Lexington,31,3585,-71.121600,42.270000,37.0,33.0,0.09068,45.0,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.10
192,Lexington,31,3586,-71.148500,42.276500,30.5,30.5,0.06911,45.0,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69
193,Lexington,31,3587,-71.134000,42.278500,36.4,36.4,0.08664,45.0,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87
194,Bedford,32,3591,-71.152500,42.300000,31.1,31.1,0.02187,60.0,2.93,0,0.401,6.800,9.9,6.2196,1,265,15.6,393.37,5.03
195,Bedford,32,3592,-71.163300,42.303000,29.1,29.1,0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.70,4.38
196,Lincoln,33,3602,-71.189000,42.252500,50.0,50.0,0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255,14.4,394.23,2.97
197,Concord,34,3611,-71.220000,42.271500,33.3,33.3,0.04011,80.0,1.52,0,0.404,7.287,34.1,7.3090,2,329,12.6,396.90,4.08
198,Concord,34,3612,-71.240000,42.272500,30.3,30.3,0.04666,80.0,1.52,0,0.404,7.107,36.6,7.3090,2,329,12.6,354.31,8.61
199,Concord,34,3613,-71.222000,42.289000,34.6,34.6,0.03768,80.0,1.52,0,0.404,7.274,38.3,7.3090,2,329,12.6,392.20,6.62
200,Sudbury,35,3651,-71.244000,42.242500,34.9,34.9,0.03150,95.0,1.47,0,0.403,6.975,15.3,7.6534,3,402,17.0,396.90,4.56
201,Sudbury,35,3652,-71.263000,42.222500,32.9,32.9,0.01778,95.0,1.47,0,0.403,7.135,13.9,7.6534,3,402,17.0,384.30,4.45
202,Wayland,36,3661,-71.218500,42.195500,24.1,24.1,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.2700,2,348,14.7,393.77,7.43
203,Wayland,36,3662,-71.214000,42.218000,42.3,42.3,0.02177,82.5,2.03,0,0.415,7.610,15.7,6.2700,2,348,14.7,395.38,3.11
204,Weston,37,3671,-71.199000,42.232000,48.5,48.5,0.03510,95.0,2.68,0,0.4161,7.853,33.2,5.1180,4,224,14.7,392.78,3.81
205,Weston,37,3672,-71.199000,42.205800,50.0,50.0,0.02009,95.0,2.68,0,0.4161,8.034,31.9,5.1180,4,224,14.7,390.55,2.88
206,Waltham,38,3681,-71.147500,42.244500,22.6,22.6,0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,396.90,10.87
207,Waltham,38,3682,-71.150000,42.230800,24.4,24.4,0.22969,0.0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97
208,Waltham,38,3683,-71.149000,42.226800,22.5,22.5,0.25199,0.0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06
209,Waltham,38,3684,-71.150300,42.222000,24.4,24.4,0.13587,0.0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66
210,Waltham,38,3685,-71.143000,42.221700,20.0,20.0,0.43571,0.0,10.59,1,0.489,5.344,100.0,3.8750,4,277,18.6,396.90,23.09
211,Waltham,38,3686,-71.143500,42.217700,21.7,21.7,0.17446,0.0,10.59,1,0.489,5.960,92.1,3.8771,4,277,18.6,393.25,17.27
212,Waltham,38,3687,-71.138000,42.221600,19.3,19.3,0.37578,0.0,10.59,1,0.489,5.404,88.6,3.6650,4,277,18.6,395.24,23.98
213,Waltham,38,3688,-71.133500,42.225000,22.4,22.4,0.21719,0.0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03
214,Waltham,38,3689,-71.137500,42.235500,28.1,28.1,0.14052,0.0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38
215,Waltham,38,3690,-71.127000,42.235000,23.7,23.7,0.28955,0.0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55
216,Waltham,38,3691,-71.124500,42.227700,25.0,25.0,0.19802,0.0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47
217,Watertown,39,3701,-71.116600,42.223000,23.3,23.3,0.04560,0.0,13.89,1,0.55,5.888,56.0,3.1121,5,276,16.4,392.80,13.51
218,Watertown,39,3702,-71.105000,42.223500,28.7,28.7,0.07013,0.0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
219,Watertown,39,3703,-71.093300,42.222000,21.5,21.5,0.11069,0.0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,396.90,17.92
220,Watertown,39,3704,-71.106000,42.218500,23.0,23.0,0.11425,0.0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.50
221,Newton,40,3731,-71.110000,42.213700,26.7,26.7,0.35809,0.0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,391.70,9.71
222,Newton,40,3732,-71.121000,42.216600,21.7,21.7,0.40771,0.0,6.2,1,0.507,6.164,91.3,3.0480,8,307,17.4,395.24,21.46
223,Newton,40,3733,-71.125000,42.213400,27.5,27.5,0.62356,0.0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93
224,Newton,40,3734,-71.120800,42.218300,30.1,30.1,0.61470,0.0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,396.90,7.60
225,Newton,40,3735,-71.110000,42.206000,44.8,44.8,0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14
226,Newton,40,3736,-71.101200,42.197500,50.0,50.0,0.52693,0.0,6.2,0,0.504,8.725,83.0,2.8944,8,307,17.4,382.00,4.63
227,Newton,40,3737,-71.121500,42.202500,37.6,37.6,0.38214,0.0,6.2,0,0.504,8.040,86.5,3.2157,8,307,17.4,387.38,3.13
228,Newton,40,3738,-71.116000,42.194700,31.6,31.6,0.41238,0.0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36
229,Newton,40,3739,-71.110000,42.185000,46.7,46.7,0.29819,0.0,6.2,0,0.504,7.686,17.0,3.3751,8,307,17.4,377.51,3.92
230,Newton,40,3740,-71.119000,42.180700,31.5,31.5,0.44178,0.0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76
231,Newton,40,3741,-71.130000,42.188000,24.3,24.3,0.53700,0.0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65
232,Newton,40,3742,-71.128500,42.193000,31.7,31.7,0.46296,0.0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25
233,Newton,40,3743,-71.140000,42.194600,41.7,41.7,0.57529,0.0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47
234,Newton,40,3744,-71.134000,42.204000,48.3,48.3,0.33147,0.0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95
235,Newton,40,3745,-71.132000,42.214200,29.0,29.0,0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.20,8.05
236,Newton,40,3746,-71.138000,42.214100,24.0,24.0,0.33045,0.0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88
237,Newton,40,3747,-71.148500,42.211000,25.1,25.1,0.52058,0.0,6.2,1,0.507,6.631,76.5,4.1480,8,307,17.4,388.45,9.54
238,Newton,40,3748,-71.149100,42.203000,31.5,31.5,0.51183,0.0,6.2,0,0.507,7.358,71.6,4.1480,8,307,17.4,390.07,4.73
239,Natick,41,3821,-71.205500,42.187500,23.7,23.7,0.08244,30.0,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36
240,Natick,41,3822,-71.203500,42.187000,23.3,23.3,0.09252,30.0,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
241,Natick,41,3823,-71.196600,42.164000,22.0,27.0,0.11329,30.0,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38
242,Natick,41,3824,-71.213800,42.164500,20.1,20.1,0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.40
243,Natick,41,3825,-71.220000,42.178200,22.2,22.2,0.10290,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22
244,Natick,41,3826,-71.232000,42.172500,23.7,23.7,0.12757,30.0,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
245,Framingham,42,3831,-71.243500,42.163000,17.6,17.6,0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.50
246,Framingham,42,3832,-71.257500,42.161800,18.5,18.5,0.19133,22.0,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46
247,Framingham,42,3833,-71.262000,42.169000,24.3,24.3,0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16
248,Framingham,42,3834,-71.247000,42.170300,20.5,20.5,0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15
249,Framingham,42,3835,-71.255000,42.176700,24.5,24.5,0.16439,22.0,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
250,Framingham,42,3836,-71.247500,42.182500,26.2,26.2,0.19073,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56
251,Framingham,42,3837,-71.238000,42.191000,24.4,24.4,0.14030,22.0,5.86,0,0.431,6.487,13.0,7.3967,7,330,19.1,396.28,5.90
252,Framingham,42,3838,-71.243500,42.198200,24.8,24.8,0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
253,Framingham,42,3839,-71.268500,42.193500,29.6,29.6,0.08221,22.0,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
254,Framingham,42,3840,-71.280700,42.172700,42.8,42.8,0.36894,22.0,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.90,3.54
255,Ashland,43,3851,-71.289500,42.157500,21.9,21.9,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315,16.4,392.89,6.57
256,Ashland,43,3852,-71.269000,42.148200,20.9,20.9,0.03548,80.0,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
257,Sherborn,44,3861,-71.223000,42.145000,44.0,44.0,0.01538,90.0,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
258,Brookline,45,4001,-71.067900,42.207300,50.0,50.0,0.61154,20.0,3.97,0,0.647,8.704,86.9,1.8010,5,264,13.0,389.70,5.12
259,Brookline,45,4002,-71.072700,42.207700,36.0,36.0,0.66351,20.0,3.97,0,0.647,7.333,100.0,1.8946,5,264,13.0,383.29,7.79
260,Brookline,45,4003,-71.076500,42.207500,30.1,30.1,0.65665,20.0,3.97,0,0.647,6.842,100.0,2.0107,5,264,13.0,391.93,6.90
261,Brookline,45,4004,-71.080000,42.204000,33.8,33.8,0.54011,20.0,3.97,0,0.647,7.203,81.8,2.1121,5,264,13.0,392.80,9.59
262,Brookline,45,4005,-71.079000,42.202000,43.1,43.1,0.53412,20.0,3.97,0,0.647,7.520,89.4,2.1398,5,264,13.0,388.37,7.26
263,Brookline,45,4006,-71.083500,42.200000,48.8,48.8,0.52014,20.0,3.97,0,0.647,8.398,91.5,2.2885,5,264,13.0,386.86,5.91
264,Brookline,45,4007,-71.075000,42.198000,31.0,31.0,0.82526,20.0,3.97,0,0.647,7.327,94.5,2.0788,5,264,13.0,393.42,11.25
265,Brookline,45,4008,-71.071000,42.203000,36.5,36.5,0.55007,20.0,3.97,0,0.647,7.206,91.6,1.9301,5,264,13.0,387.89,8.10
266,Brookline,45,4009,-71.070000,42.200000,22.8,22.8,0.76162,20.0,3.97,0,0.647,5.560,62.8,1.9865,5,264,13.0,392.40,10.45
267,Brookline,45,4010,-71.072500,42.196500,30.7,30.7,0.78570,20.0,3.97,0,0.647,7.014,84.6,2.1329,5,264,13.0,384.07,14.79
268,Brookline,45,4011,-71.085000,42.192500,50.0,50.0,0.57834,20.0,3.97,0,0.575,8.297,67.0,2.4216,5,264,13.0,384.54,7.44
269,Brookline,45,4012,-71.092500,42.207500,43.5,43.5,0.54050,20.0,3.97,0,0.575,7.470,52.6,2.8720,5,264,13.0,390.30,3.16
270,Dedham,46,4021,-71.098000,42.154000,20.7,20.7,0.09065,20.0,6.96,1,0.464,5.920,61.5,3.9175,3,223,18.6,391.34,13.65
271,Dedham,46,4022,-71.087000,42.141000,21.1,21.1,0.29916,20.0,6.96,0,0.464,5.856,42.1,4.4290,3,223,18.6,388.65,13.00
272,Dedham,46,4023,-71.094000,42.135500,25.2,25.2,0.16211,20.0,6.96,0,0.464,6.240,16.3,4.4290,3,223,18.6,396.90,6.59
273,Dedham,46,4024,-71.098200,42.144500,24.4,24.4,0.11460,20.0,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
274,Dedham,46,4025,-71.117000,42.151000,35.2,35.2,0.22188,20.0,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
275,Needham,47,4031,-71.130500,42.167500,32.4,32.4,0.05644,40.0,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,396.90,3.53
276,Needham,47,4032,-71.138000,42.173300,32.0,32.0,0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.90,2.98
277,Needham,47,4033,-71.140500,42.163200,33.2,33.2,0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254,17.6,389.25,6.05
278,Needham,47,4034,-71.149500,42.173000,33.1,33.1,0.06127,40.0,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16
279,Needham,47,4035,-71.139500,42.181300,29.1,29.1,0.07978,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,396.90,7.19
280,Wellesley,48,4041,-71.148000,42.188000,35.1,35.1,0.21038,20.0,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.90,4.85
281,Wellesley,48,4042,-71.166000,42.187000,45.4,45.4,0.03578,20.0,3.33,0,0.4429,7.820,64.5,4.6947,5,216,14.9,387.31,3.76
282,Wellesley,48,4043,-71.185000,42.184800,35.4,35.4,0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59
283,Wellesley,48,4044,-71.177500,42.173500,46.0,46.0,0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,377.07,3.01
284,Dover,49,4051,-71.173000,42.147500,50.0,50.0,0.01501,90.0,1.21,1,0.401,7.923,24.8,5.8850,1,198,13.6,395.52,3.16
285,Medfield,50,4061,-71.180000,42.110500,32.2,32.2,0.00906,90.0,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85
286,Millis,51,4071,-71.213500,42.100000,22.0,22.0,0.01096,55.0,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23
287,Norfolk,52,4091,-71.195000,42.067500,20.1,20.1,0.01965,80.0,1.76,0,0.385,6.230,31.5,9.0892,1,241,18.2,341.60,12.93
288,Walpole,53,4111,-71.148000,42.077500,23.2,23.2,0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,396.90,7.14
289,Walpole,53,4112,-71.132500,42.094000,22.3,22.3,0.04590,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,396.90,7.60
290,Walpole,53,4113,-71.155000,42.098000,24.8,24.8,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51
291,Westwood,54,4121,-71.138500,42.123500,28.5,28.5,0.03502,80.0,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,396.90,3.33
292,Westwood,54,4122,-71.133000,42.140800,37.3,37.3,0.07886,80.0,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,396.90,3.56
293,Westwood,54,4123,-71.107000,42.130700,27.9,27.9,0.03615,80.0,4.95,0,0.411,6.630,23.4,5.1167,4,245,19.2,396.90,4.70
294,Norwood,55,4131,-71.109000,42.110000,23.9,23.9,0.08265,0.0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16.0,396.90,8.58
295,Norwood,55,4132,-71.118000,42.121700,21.7,21.7,0.08199,0.0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16.0,396.90,10.40
296,Norwood,55,4133,-71.130900,42.116600,28.6,28.6,0.12932,0.0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16.0,396.90,6.27
297,Norwood,55,4134,-71.128000,42.110800,27.1,27.1,0.05372,0.0,13.92,0,0.437,6.549,51.0,5.9604,4,289,16.0,392.85,7.39
298,Norwood,55,4135,-71.121000,42.102500,20.3,20.3,0.14103,0.0,13.92,0,0.437,5.790,58.0,6.3200,4,289,16.0,396.90,15.84
299,Sharon,56,4141,-71.120000,42.072500,22.5,22.5,0.06466,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97
300,Sharon,56,4142,-71.100000,42.059000,29.0,29.0,0.05561,70.0,2.24,0,0.4,7.041,10.0,7.8278,5,358,14.8,371.58,4.74
301,Sharon,56,4143,-71.103500,42.073500,24.8,24.8,0.04417,70.0,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,390.86,6.07
302,Canton,57,4151,-71.087500,42.095000,22.0,22.0,0.03537,34.0,6.09,0,0.433,6.590,40.4,5.4917,7,329,16.1,395.75,9.50
303,Canton,57,4152,-71.062500,42.102000,26.4,26.4,0.09266,34.0,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67
304,Canton,57,4153,-71.086500,42.120000,33.1,33.1,0.10000,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86
305,Milton,58,4161,-71.046500,42.145000,36.1,36.1,0.05515,33.0,2.18,0,0.472,7.236,41.1,4.0220,7,222,18.4,393.68,6.93
306,Milton,58,4162,-71.057000,42.152500,28.4,28.4,0.05479,33.0,2.18,0,0.472,6.616,58.1,3.3700,7,222,18.4,393.36,8.93
307,Milton,58,4163,-71.045000,42.159000,33.4,33.4,0.07503,33.0,2.18,0,0.472,7.420,71.9,3.0992,7,222,18.4,396.90,6.47
308,Milton,58,4164,-71.028000,42.156500,28.2,28.2,0.04932,33.0,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,396.90,7.53
309,Quincy,59,4171,-71.013800,42.155500,22.8,22.8,0.49298,0.0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,396.90,4.54
310,Quincy,59,4172,-71.020100,42.160000,20.3,20.3,0.34940,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97
311,Quincy,59,4173,-71.016000,42.176000,16.1,16.1,2.63548,0.0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64
312,Quincy,59,4174,-71.007500,42.178000,22.1,22.1,0.79041,0.0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,396.90,5.98
313,Quincy,59,4175,-71.015000,42.167000,19.4,19.4,0.26169,0.0,9.9,0,0.544,6.023,90.4,2.8340,4,304,18.4,396.30,11.72
314,Quincy,59,4176,-71.007500,42.161300,21.6,21.6,0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.90
315,Quincy,59,4177,-71.000000,42.153000,23.8,23.8,0.36920,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28
316,Quincy,59,4178,-70.979500,42.158000,16.2,16.2,0.25356,0.0,9.9,0,0.544,5.705,77.7,3.9450,4,304,18.4,396.42,11.50
317,Quincy,59,4179,-70.988000,42.148500,17.8,17.8,0.31827,0.0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,390.70,18.33
318,Quincy,59,4180,-71.004000,42.142500,19.8,19.8,0.24522,0.0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,396.90,15.94
319,Quincy,59,4181,-71.010000,42.150000,23.1,23.1,0.40202,0.0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36
320,Quincy,59,4182,-71.020000,42.151000,21.0,21.0,0.47547,0.0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73
321,Braintree,60,4191,-71.008500,42.129000,23.8,23.8,0.16760,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.90,7.20
322,Braintree,60,4192,-70.997500,42.134000,23.1,23.1,0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,396.90,6.87
323,Braintree,60,4193,-70.990000,42.136700,20.4,20.4,0.35114,0.0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,396.90,7.70
324,Braintree,60,4194,-70.983400,42.137500,18.5,18.5,0.28392,0.0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74
325,Braintree,60,4195,-70.989500,42.126500,25.0,25.0,0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,396.90,6.12
326,Braintree,60,4196,-71.000000,42.106600,24.6,24.6,0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
327,Braintree,60,4197,-70.999500,42.117500,23.0,23.0,0.30347,0.0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.90,6.15
328,Braintree,60,4198,-71.010000,42.121500,22.2,22.2,0.24103,0.0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,396.90,12.79
329,Randolph,61,4201,-71.027500,42.113000,19.3,19.3,0.06617,0.0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,382.44,9.97
330,Randolph,61,4202,-71.041500,42.115000,22.6,22.6,0.06724,0.0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34
331,Randolph,61,4203,-71.025000,42.098000,19.8,19.8,0.04544,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09
332,Holbrook,62,4211,-71.011500,42.086500,17.1,17.1,0.05023,35.0,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43
333,Holbrook,62,4212,-70.996000,42.089500,19.4,19.4,0.03466,35.0,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,7.83
334,Weymouth,63,4221,-70.979500,42.099500,22.2,22.2,0.05083,0.0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68
335,Weymouth,63,4222,-70.965000,42.101000,20.7,20.7,0.03738,0.0,5.19,0,0.515,6.310,38.5,6.4584,5,224,20.2,389.40,6.75
336,Weymouth,63,4223,-70.970000,42.115000,21.1,21.1,0.03961,0.0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,396.90,8.01
337,Weymouth,63,4224,-70.976000,42.128000,19.5,19.5,0.03427,0.0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.90,9.80
338,Weymouth,63,4225,-70.960200,42.127000,18.5,18.5,0.03041,0.0,5.19,0,0.515,5.895,59.6,5.6150,5,224,20.2,394.81,10.56
339,Weymouth,63,4226,-70.963300,42.137400,20.6,20.6,0.03306,0.0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51
340,Weymouth,63,4227,-70.967500,42.144000,19.0,19.0,0.05497,0.0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.90,9.74
341,Weymouth,63,4228,-70.965000,42.150300,18.7,18.7,0.06151,0.0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.90,9.29
342,Cohasset,64,4231,-70.887500,42.146500,32.7,32.7,0.01301,35.0,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49
343,Hull,65,5001,-70.915000,42.160000,16.5,16.5,0.02498,0.0,1.89,0,0.518,6.540,59.7,6.2669,1,422,15.9,389.96,8.65
344,Hingham,66,5011,-70.937000,42.147500,23.9,23.9,0.02543,55.0,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,396.90,7.18
345,Hingham,66,5012,-70.932500,42.123000,31.2,31.2,0.03049,55.0,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61
346,Rockland,67,5021,-70.947000,42.072500,17.5,17.5,0.03113,0.0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53
347,Rockland,67,5022,-70.950100,42.082500,17.2,17.2,0.06162,0.0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67
348,Hanover,68,5031,-70.927500,42.079500,23.1,23.1,0.01870,85.0,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36
349,Norwell,69,5041,-70.920000,42.101600,24.5,24.5,0.01501,80.0,2.01,0,0.435,6.635,29.7,8.3440,4,280,17.0,390.94,5.99
350,Scituate,70,5051,-70.855000,42.130000,26.6,26.6,0.02899,40.0,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89
351,Scituate,70,5052,-70.833000,42.115000,22.9,22.9,0.06211,40.0,1.25,0,0.429,6.490,44.4,8.7921,1,335,19.7,396.90,5.98
